Date,Close,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Target
2024-09-28,65887.6484375,65790.6640625,65181.01953125,63143.14453125,64301.96875,63329.80078125,63648.7109375,63394.83984375,65887.6484375
2024-09-29,65635.3046875,65887.6484375,65790.6640625,65181.01953125,63143.14453125,64301.96875,63329.80078125,63648.7109375,65635.3046875
2024-09-30,63329.5,65635.3046875,65887.6484375,65790.6640625,65181.01953125,63143.14453125,64301.96875,63329.80078125,63329.5
2024-10-01,60837.0078125,63329.5,65635.3046875,65887.6484375,65790.6640625,65181.01953125,63143.14453125,64301.96875,60837.0078125
2024-10-02,60632.78515625,60837.0078125,63329.5,65635.3046875,65887.6484375,65790.6640625,65181.01953125,63143.14453125,60632.78515625
2024-10-03,60759.40234375,60632.78515625,60837.0078125,63329.5,65635.3046875,65887.6484375,65790.6640625,65181.01953125,60759.40234375
2024-10-04,62067.4765625,60759.40234375,60632.78515625,60837.0078125,63329.5,65635.3046875,65887.6484375,65790.6640625,62067.4765625
2024-10-05,62089.94921875,62067.4765625,60759.40234375,60632.78515625,60837.0078125,63329.5,65635.3046875,65887.6484375,62089.94921875
2024-10-06,62818.953125,62089.94921875,62067.4765625,60759.40234375,60632.78515625,60837.0078125,63329.5,65635.3046875,62818.953125
2024-10-07,62236.66015625,62818.953125,62089.94921875,62067.4765625,60759.40234375,60632.78515625,60837.0078125,63329.5,62236.66015625
2024-10-08,62131.96875,62236.66015625,62818.953125,62089.94921875,62067.4765625,60759.40234375,60632.78515625,60837.0078125,62131.96875
2024-10-09,60582.1015625,62131.96875,62236.66015625,62818.953125,62089.94921875,62067.4765625,60759.40234375,60632.78515625,60582.1015625
2024-10-10,60274.5,60582.1015625,62131.96875,62236.66015625,62818.953125,62089.94921875,62067.4765625,60759.40234375,60274.5
2024-10-11,62445.08984375,60274.5,60582.1015625,62131.96875,62236.66015625,62818.953125,62089.94921875,62067.4765625,62445.08984375
2024-10-12,63193.0234375,62445.08984375,60274.5,60582.1015625,62131.96875,62236.66015625,62818.953125,62089.94921875,63193.0234375
2024-10-13,62851.375,63193.0234375,62445.08984375,60274.5,60582.1015625,62131.96875,62236.66015625,62818.953125,62851.375
2024-10-14,66046.125,62851.375,63193.0234375,62445.08984375,60274.5,60582.1015625,62131.96875,62236.66015625,66046.125
2024-10-15,67041.109375,66046.125,62851.375,63193.0234375,62445.08984375,60274.5,60582.1015625,62131.96875,67041.109375
